city_name,city_country_code,city_id,city_lat,city_lng,city_max_temp,city_humidity,city_cloud_cover,city_wind_speed,record_dt
Montepuez,MZ,1037125,-13.13,39.0,68.53,87,0,8.03,1524277318
Solwezi,ZM,897045,-12.18,26.4,54.04,81,0,4.72,1524277318
Vilhena,BR,3924679,-12.74,-60.15,71.41,92,0,3.56,1524277318
Sao Jose da Coroa Grande,BR,3388456,-8.9,-35.15,75.55,100,64,3.83,1524277186
San Cristobal,EC,3652567,-1.02,-79.44,62.32,100,88,2.21,1524277318
Pangoa,PE,3933104,-12.12,-73.0,64.75,94,64,1.81,1524277319
Miguel Calmon,BR,3457202,-11.43,-40.6,68.62,98,92,9.15,1524277319
Luena,AO,3347719,-11.78,19.91,56.47,78,20,2.55,1524277319
Daru,PG,2098329,-9.07,143.21,80.5,100,88,17.09,1524277319
Praya,ID,1630662,-8.71,116.27,84.2,79,20,4.7,1524272400
Soe,ID,1626703,-9.86,124.28,83.02,68,0,4.0,1524277320
Pimenta Bueno,BR,3924908,-11.68,-61.19,73.39,93,0,2.04,1524277320
Tamandare,BR,3661980,-8.28,-70.75,74.11,91,68,2.77,1524277320
Likasi,CD,922741,-10.99,26.74,61.15,86,0,8.41,1524277320
Maningrida,AU,2067089,-12.05,134.23,89.5,64,0,14.34,1524277321
Sumbe,AO,3346015,-11.2,13.84,75.28,100,0,5.61,1524277321
Merauke,ID,2082539,-8.49,140.4,81.94,94,88,15.86,1524277321
Maragogi,BR,3395458,-9.01,-35.22,75.55,100,64,3.83,1524277321
Songea,TZ,877401,-10.68,35.65,58.09,91,48,1.99,1524277321
Victoria,SC,241131,-4.62,55.45,77.0,94,75,4.7,1524272400
Port Moresby,PG,2088122,-9.47,147.16,86.0,70,40,17.22,1524272400
Jacobina,BR,3460344,-11.19,-40.51,68.62,98,92,9.15,1524277322
Lubumbashi,CD,922704,-11.66,27.48,56.2,78,0,4.34,1524277322
Alta Floresta,BR,6316343,-9.87,-56.08,75.91,88,32,2.1,1524277322
Mwinilunga,ZM,902620,-11.73,24.43,55.84,82,0,2.48,1524277323
Gilbues,BR,3398931,-9.83,-45.34,81.94,43,36,8.63,1524277323
Njombe,TZ,151479,-9.34,34.77,62.05,96,88,2.77,1524277323
Atambua,ID,1651103,-9.11,124.89,85.63,94,0,5.5,1524277323
Olinda,BR,3456160,-22.82,-43.41,75.2,73,20,4.7,1524272400
Koungou,YT,1090225,-12.73,45.2,80.6,88,0,9.17,1524276000
Quebrangulo,BR,3391090,-9.32,-36.47,70.69,96,44,3.83,1524277324
Kambove,CD,923058,-10.88,26.6,56.92,79,0,4.5,1524277324
Tunduma,TZ,149402,-9.3,32.77,57.37,92,44,3.27,1524277384
Llata,PE,3695320,-9.55,-76.82,34.51,88,8,2.37,1524277385
