city_name,city_country_code,city_id,city_lat,city_lng,city_max_temp,city_humidity,city_cloud_cover,city_wind_speed,record_dt
Salalah,OM,286621,17.01,54.1,89.6,49,0,11.41,1524315000
Bosaso,SO,64013,11.28,49.18,84.17,94,0,14.99,1524317284
Ponnani,IN,1259411,10.77,75.93,86.0,74,75,6.93,1524315600
Port Blair,IN,1259385,11.67,92.75,85.79,100,0,3.58,1524317284
Birao,CF,240210,10.3,22.78,105.05,17,0,5.82,1524317284
Bateria,PH,1726225,11.14,124.03,83.45,95,36,8.77,1524317284
Kontagora,NG,2334008,10.4,5.47,90.29,58,68,11.3,1524317285
Portobelo,PA,3702577,9.55,-79.65,82.4,83,40,4.7,1524315600
Acajutla,SV,3587498,13.59,-89.83,80.6,65,0,5.82,1524315000
Siguiri,GN,2415703,11.42,-9.17,101.0,23,0,9.95,1524317286
Roxana,CR,3622036,10.27,-83.75,75.2,64,75,10.29,1524315600
Prachuap Khiri Khan,TH,1151074,11.81,99.79,79.31,87,20,3.24,1524317286
La Asuncion,VE,3480908,11.03,-63.86,77.15,97,68,8.43,1524317286
Bluefields,NI,3620680,12.01,-83.77,82.4,83,75,4.7,1524315600
Bang Saphan,TH,1157662,11.21,99.51,84.2,79,20,5.82,1524315600
Sulangan,PH,1685422,11.14,123.72,83.36,100,88,12.12,1524317287
San Miguelito,NI,3616659,11.4,-84.9,79.76,100,68,19.84,1524317287
Bama,NG,2347954,11.52,13.69,107.48,20,0,3.06,1524317288
San Andres,CO,7522928,8.22,-76.58,82.4,78,40,13.87,1524315600
Maiduguri,NG,2331447,11.84,13.15,107.75,20,0,4.63,1524317288
Oistins,BB,3373652,13.07,-59.53,80.6,74,75,20.8,1524315600
Ouargaye,BF,2357012,11.5,0.06,94.88,51,48,9.1,1524317289
Diapaga,BF,2361373,12.07,1.79,102.53,25,56,8.16,1524317289
Tinogboc,PH,1681798,12.01,121.41,83.9,95,8,18.57,1524317289
Kampong Cham,KH,1831173,11.99,105.46,83.63,78,24,1.23,1524317289
Panlaitan,PH,1695065,12.12,119.85,84.44,85,0,10.67,1524317290
Tigbao,PH,7521307,11.26,124.97,80.93,97,8,9.33,1524317290
Tecoanapa,MX,3532499,16.99,-99.26,75.2,78,5,2.24,1524314460
Constitucion,MX,4011743,23.99,-104.67,55.4,43,20,12.75,1524314760
Gunjur,GM,2413419,13.18,-16.76,78.8,54,0,10.29,1524315600
Solenzo,BF,2597250,12.18,-4.08,97.31,51,8,7.61,1524317291
Karumbakkam,IN,1267660,12.7,80.09,89.6,70,20,11.41,1524315600
Say,NE,2439812,13.1,2.36,105.8,5,0,6.93,1524315600
Pochutla,MX,3517970,15.74,-96.47,77.0,73,5,5.86,1524314460
Quezon,PH,1692197,16.49,121.26,72.92,88,88,1.83,1524317291
Sokoto,NG,2322911,13.06,5.24,101.63,33,8,7.61,1524317292
Yanam,IN,1252795,16.73,82.22,91.73,47,0,10.96,1524317352
Anito,PH,1730622,12.45,125.29,82.73,99,88,10.4,1524317352
Kousseri,CM,2229798,12.08,15.03,107.6,15,20,4.7,1524315600
Dabat,ET,340358,12.98,37.77,82.82,20,92,2.57,1524317353
Cartagena,CO,3675443,5.03,-75.64,69.8,77,40,2.24,1524315600
San Rafael,PH,1688674,11.18,122.83,83.27,81,88,8.55,1524317353
Guerrero Negro,MX,4021858,27.97,-114.04,51.68,96,48,2.57,1524317353
Cabra,PH,1721491,13.89,120.05,85.79,93,24,9.17,1524317354
Bathsheba,BB,3374083,13.22,-59.52,80.6,74,75,20.8,1524315600
Thanyaburi,TH,1605549,14.02,100.73,87.8,70,20,10.29,1524313800
Lahij,YE,73560,13.06,44.88,95.87,31,0,12.19,1524317354
Dawei,MM,1293625,14.07,98.19,86.33,56,12,2.35,1524317354
Goure,NE,2444219,13.98,10.27,107.03,15,24,6.53,1524317355
Amalapuram,IN,1278935,16.58,82.0,91.73,47,0,10.96,1524317355
Gashua,NG,2341656,12.87,11.04,106.04,21,8,6.93,1524317355
Arroyo,US,5208292,41.39,-78.88,35.6,69,1,2.35,1524315240
Surin,TH,1606030,14.88,103.49,87.8,70,40,2.24,1524315600
Kayes,ML,2455518,14.44,-11.44,97.58,25,0,8.43,1524317356
Abeche,TD,245785,13.83,20.83,105.8,14,0,9.17,1524315600
